Регион,Уровень суммы,Метод оплаты,🟢 Лучший,🟠 Второй,🟥 Флаг/Комментарий
EU_SEPA,Tier1,Card,Utorg,Mercuryo,
EU_SEPA,Tier1,Mobile,Mercuryo,Banxa,
EU_SEPA,Tier1,Bank,Paybis,Mercuryo,
EU_SEPA,Tier2,Card,Utorg,Mercuryo,
EU_SEPA,Tier2,Mobile,Mercuryo,Banxa,
EU_SEPA,Tier2,Bank,Paybis,Mercuryo,
EU_SEPA,Tier3,Card,Paybis,Mercuryo (🟥),
EU_SEPA,Tier3,Mobile,Mercuryo,Banxa,
EU_SEPA,Tier3,Bank,Paybis,Transak,
CEE_NON€,Tier1,Card,Utorg,Mercuryo,
CEE_NON€,Tier1,Mobile,Mercuryo,Banxa,
CEE_NON€,Tier1,Bank,Paybis,Mercuryo,
CEE_NON€,Tier2,Card,Utorg,,
CEE_NON€,Tier2,Mobile,Mercuryo,,
CEE_NON€,Tier2,Bank,Paybis,,
CEE_NON€,Tier3,Card,Paybis,Mercuryo (🟥),
CEE_NON€,Tier3,Mobile,Mercuryo,Banxa,
CEE_NON€,Tier3,Bank,Paybis,Transak,
NORDICS,Tier1,Card,Utorg,Mercuryo,
NORDICS,Tier1,Mobile,Mercuryo,Banxa,
NORDICS,Tier1,Bank,Paybis,Mercuryo,
NORDICS,Tier2,Card,Utorg,Mercuryo,
NORDICS,Tier2,Mobile,Mercuryo,Banxa,
NORDICS,Tier2,Bank,Paybis,Mercuryo,
NORDICS,Tier3,Card,Paybis,Mercuryo (🟥),
NORDICS,Tier3,Mobile,Mercuryo,Banxa,
NORDICS,Tier3,Bank,Paybis,Transak,
BALTICS,Tier1,Card,Utorg,Mercuryo,
BALTICS,Tier1,Mobile,Mercuryo,Banxa,
BALTICS,Tier1,Bank,Paybis,Mercuryo,
BALTICS,Tier2,Card,Utorg,Mercuryo,
BALTICS,Tier2,Mobile,Mercuryo,Banxa,
BALTICS,Tier2,Bank,Paybis,Mercuryo,
BALTICS,Tier3,Card,Paybis,Mercuryo (🟥),
BALTICS,Tier3,Mobile,Mercuryo,Banxa,
BALTICS,Tier3,Bank,Paybis,Transak,
EFTA_CH,Tier1,Card,Utorg,Mercuryo,
EFTA_CH,Tier1,Mobile,Mercuryo,Banxa,
EFTA_CH,Tier1,Bank,Paybis,Mercuryo,
EFTA_CH,Tier2,Card,Utorg,Mercuryo,
EFTA_CH,Tier2,Mobile,Mercuryo,Banxa,
EFTA_CH,Tier2,Bank,Paybis,Mercuryo,
EFTA_CH,Tier3,Card,Paybis,Mercuryo (🟥),
EFTA_CH,Tier3,Mobile,Mercuryo,Banxa,
EFTA_CH,Tier3,Bank,Paybis,Transak,
UK,Tier1,Card,Utorg,Mercuryo,
UK,Tier1,Mobile,Mercuryo,Banxa,
UK,Tier1,Bank,Paybis,Mercuryo,
UK,Tier2,Card,Utorg,Mercuryo,
UK,Tier2,Mobile,Mercuryo,Banxa,
UK,Tier2,Bank,Paybis,Mercuryo,
UK,Tier3,Card,Paybis,Mercuryo (🟥),
UK,Tier3,Mobile,Mercuryo,Banxa,
UK,Tier3,Bank,Paybis,Transak,
CA,Tier1,Card,Utorg,Mercuryo,
CA,Tier1,Mobile,Mercuryo,Banxa,
CA,Tier1,Bank,Paybis,Mercuryo,
CA,Tier2,Card,Utorg,Mercuryo,
CA,Tier2,Mobile,Mercuryo,Banxa,
CA,Tier2,Bank,Paybis,Mercuryo,
CA,Tier3,Card,Paybis,Mercuryo,
CA,Tier3,Mobile,Mercuryo,Banxa,
CA,Tier3,Bank,Paybis,Transak,
