id,Lstart,Lend,sha256,tokens
DR_0001,1587,2396,f177e769672cd2fc5fc3c9cbff41275e97f79825cef0b45bca491f738dd8fb2f,1503
DR_0002,2718,2755,4b2e3a428b89a47c92fa28b8dbd7a2a78239a96215dbf888329925ec51b73f31,1910
DR_0003,3150,3195,d8d1419e6387186bcd166f1fd73eb1393448a8e574f49a795ed0b601dbfbaf83,91
DR_0004,3324,3369,2d89ba8e0334cb78464e26fb21c6b552c2905386a1c00974dc622d0af2aefe39,299
DR_0005,3411,3454,698a5d1cc88cb2fd8c3e3ba0cd9283ffb75e897cc98472279b71fa08f27a7e88,350
DR_0006,4289,7541,ec2fcd951c33d19c638ebe8f073f8ddf7b9d8a253688dc54e8b0129278370c4e,3870
DR_0007,7765,7811,d6f4eeaacf8728e8dc99bf27b096d8f1d610b261727a33dfeb51f106fb4a1681,181
DR_0008,7863,8917,66eda2cbf034c43e3a0230037a28327c02b5b3d43ed5bd67ca9a398d17db4f38,3968
DR_0009,8969,9005,2bd880fa149f3f221d16073f9e7dd37e80090ca52c2e389371f3265e108ff42f,43
DR_0010,9104,9140,d397fe0a17b08c77e41bf15c787e1f543797c84190fbdb0f4ed50e312bdb5452,61
DR_0011,9141,9187,97782f26723e55cd1e4bba1ea21bebb585e9803f6ecf56cdfdf6b9eacbca3b50,235
DR_0012,9328,9364,2101f659b4391404086a03563f6915b3377caa858cdf29a4431bfdc51e959246,99
DR_0013,9500,9546,280a66e78eeeefca0a6220bf61b0d2511fe115294980a253b85becbbc9cbab33,170
DR_0014,9598,9635,f2487c753a615b89c3267b544d7986faff27255e37bb78e6b58e6a7087082074,2164
DR_0015,9822,9858,8bfe23514265dcfe7fdd834ebd8e48851ff973704d60999007b5f1a45c7f83aa,90
DR_0016,9859,9905,cbe21a048366d6db5e616f3d6d6ccab6d9e9dcfd81ce819ebf2f6d44934b550e,197
DR_0017,10223,10259,08921ded60d522880781b59bbcb0fb8715f66a12f4b269a03f75ece1836ee888,145
DR_0018,10358,10394,81aaafcd6cc2bfb444e392bf0818e721b9d69d91cbcbb03cf94ebd86f9745864,60
DR_0019,10395,10441,225eebe8fb5080f338711e051ec452e62e35ce3d1540d89c15d0aa265a594c92,200
DR_0020,10493,10530,0d08b0ff3ba724ae3cb1aba322a794f52b2470156a58b3ce33b922c1889cf0e6,597
DR_0021,10717,10753,0922b8656fff77a3593181faf508a04836446ced38fa1f341beb8eda28813335,47
DR_0022,10754,10800,419b575f3d48dc30c86f6c952e8382a56bf140ddddcb41aacab68577d708aa15,136
DR_0023,10852,11416,7986ba7ced1ea30a1a99fad01d8f83310fec1dc03147503d523f9b273457b521,557
DR_0024,11810,12147,4fc987112793e0ec4ca2d0c8ba7885bffbbabdbd6c2827c324f691e1f837fe52,518
